Id	Brand	Price	Units	Grade	Title
1	NaturaleBio	8.79	30	Ceremonial	Organic Matcha Green Tea Powder [Ceremonial Grade]. Organic Japanese Tea Produced in Uji, Kyoto. Ideal for Drinking, Cooking and with Milk. 30 gr Tin. NaturaleBio
2	Clearspring	19.52	30	Ceremonial	Clearspring Organic Japanese Matcha Green Tea Powder - Ceremonial Grade
3	NaturaleBio	14.99	200	Culinary	Japanese Organic Matcha Green Tea Powder [ Culinary Grade ] 200 gr. Tea Produced in Japan, Uji, Kyoto. Use for Cooking, Baking, Smoothie Making and with Milk. Vegan & Vegetarian Friendly
4	VAHDAM	9.99	100	Culinary	Matcha Green Tea Powder SUPERFOOD (50 Servings, 100g) | 100% Pure Authentic Japanese Matcha Powder | Classic Culinary Grade Green Tea Matcha 137x Anti-OXIDANTS | Matcha Latte Mix, Smoothies & Recipes
5	Emma Basic	11.9	50	Ceremonial	Emma Basic Matcha 50g, Ceremonial Grade, Green Tea Powder, Catechin
6	PureChimp	9.95	50	Ceremonial	Matcha Green Tea Powder (Super Tea) 50g by PureChimp | Ceremonial Grade from Japan | Pesticide-Free | Recyclable Glass Jar & Aluminium Lid
7	Nouri	11.95	100	Ceremonial	Organic Matcha Tea | 100g Ceremonial Grade Matcha Green Tea | 3 Month Supply | Eco Friendly Packaging
8	Heapwell Superfoods	6.99	50	Culinary	Matcha Green Tea Powder from Japan - Premium 50g
9	SuperSelf	15.89	120	Ceremonial	Organic Matcha Green Tea Powder - Ceremonial Grade - 120g (120 Servings) - 100% Pure Premium Ground Tea Leaves - Pesticide-Free & Vegan
10	Midori Spring	28.95	100	Ceremonial	*Limited* Midori Spring Emerald Class - Organic Ceremonial Matcha, Chef's Choice! Quality Japanese Matcha Powder for Drinks, Baking and Tea Brew - Organic, Kosher, Vegan (100g)
